Date,Transaction Type,Check_Ref,Description,Amount,Source,ID
2022-08-01,bank charge/income,22487.0,bank checking 2092`22487_x0003_fed p/r tax,-4519.16,GL,1000
2022-08-01,bank charge/income,22488.0,bank checking 2092`22488_x0003_state p/r tax,-41.32,GL,1001
2022-08-01,bank charge/income,22489.0,bank checking 2092`22489_x0003_state p/r tax,-166.9,GL,1002
2022-08-01,bank charge/income,22490.0,bank checking 2092`22490_x0003_state p/r tax,-769.72,GL,1003
2022-08-01,bank charge/income,22491.0,bank checking 2092`22491_x0003_state p/r  tax,-495.73,GL,1004
2022-08-01,bank charge/income,22492.0,bank checking 2092`22492_x0003_state p/r tax,-40.160000000000004,GL,1005
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,8279.61,GL,1006
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,6901.56,GL,1007
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1129.31,GL,1008
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,5511.0,GL,1009
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1193.0,GL,1010
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,2826.7200000000003,GL,1011
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1898.16,GL,1012
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3646.28,GL,1013
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3629.6,GL,1014
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3629.6,GL,1015
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3635.16,GL,1016
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3629.6,GL,1017
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,16353.34,GL,1018
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1587.8600000000001,GL,1019
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,3640.7200000000003,GL,1020
2022-08-03,ap payments,2208035.0,"a logistics, llc`2208035_x0003_($10,585.59 usd), aug 03, 2022",-10585.59,GL,1021
2022-08-03,ap payments,15948.0,"national bank #6414`15948_x0003_($417.51 usd), aug 03, 2022",-417.51,GL,1022
2022-08-03,ap payments,15949.0,"national bank #6522`15949_x0003_($49.53 usd), aug 03, 2022",-49.53,GL,1023
2022-08-03,ap payments,15950.0,"freight, inc.`15950_x0003_($800.00 usd), aug 03, 2022",-800.0,GL,1024
2022-08-03,ap payments,15951.0,"western pest services`15951_x0003_($191.92 usd), aug 03, 2022",-191.92000000000002,GL,1025
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1358.0,GL,1026
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,740.52,GL,1027
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,12138.0,GL,1028
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1357.5,GL,1029
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,2508.8,GL,1030
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,426.40000000000003,GL,1031
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1656.0,GL,1032
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,1487.8500000000001,GL,1033
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,319.8,GL,1034
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,348.66,GL,1035
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,2800.0,GL,1036
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,869.44,GL,1037
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,3646.5,GL,1038
2022-08-04,cash receipt entry,22541.0,bank checking 2092`22541_x0003_internal xfer,844.5600000000001,GL,1039
2022-08-05,payroll,15913.0,nan,-989.28,GL,1040
2022-08-05,payroll,15914.0,nan,-894.22,GL,1041
2022-08-05,payroll,15915.0,nan,-1136.63,GL,1042
2022-08-05,payroll,15916.0,nan,-593.84,GL,1043
2022-08-05,payroll,15917.0,nan,-541.52,GL,1044
