Date,Transaction Type,Check_Ref,Description,Amount,Source,ID
2022-08-01,check,15869.0,,-730.8,Bank,2005
2022-08-01,check,15881.0,,-813.05,Bank,2013
2022-08-01,check,15889.0,,-566.68,Bank,2019
2022-08-01,deposit bridge,,,67491.52,Bank,2034
2022-08-01,preauth debit,,irs usataxpymt 220801 270261301950217,-5209.67,Bank,2035
2022-08-01,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*101 810*****buff\ 810*****buff\,-1018.1,Bank,2036
2022-08-01,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*495 73*****buff\ 73*****buff\,-495.73,Bank,2037
2022-08-04,preauth debit,,g inc. ach-2092 220804,-10585.59,Bank,2042
2022-08-04,onln bkg trft credit,,fr acc 08003212084,30502.03,Bank,2043
2022-08-05,preauth debit,,g inc. ach-2092 220805,-3572.64,Bank,2045
2022-08-08,check,15887.0,,-800.56,Bank,2046
2022-08-08,check,15913.0,,-989.28,Bank,2048
2022-08-08,check,15914.0,,-894.22,Bank,2049
2022-08-08,check,15916.0,,-593.84,Bank,2050
2022-08-08,check,15917.0,,-541.52,Bank,2051
2022-08-08,check,15919.0,,-776.76,Bank,2052
2022-08-08,check,15920.0,,-854.75,Bank,2053
2022-08-08,check,15921.0,,-648.38,Bank,2054
2022-08-08,check,15922.0,,-643.13,Bank,2055
2022-08-08,check,15923.0,,-902.15,Bank,2056
2022-08-08,check,15925.0,,-621.06,Bank,2057
2022-08-08,check,15927.0,,-579.8,Bank,2058
2022-08-08,check,15928.0,,-656.55,Bank,2059
2022-08-08,check,15929.0,,-966.08,Bank,2060
2022-08-08,check,15930.0,,-650.72,Bank,2061
2022-08-08,check,15931.0,,-726.25,Bank,2062
2022-08-08,check,15932.0,,-580.43,Bank,2063
2022-08-08,check,15935.0,,-751.48,Bank,2064
2022-08-08,check,15936.0,,-1285.84,Bank,2065
2022-08-08,check,15938.0,,-750.08,Bank,2066
2022-08-08,check,15940.0,,-632.86,Bank,2067
2022-08-08,check,15945.0,,-1293.85,Bank,2068
2022-08-08,check,15946.0,,-728.17,Bank,2069
2022-08-08,deposit bridge,,,1298.5,Bank,2070
2022-08-08,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*977 73*****buff\ 73*****buff\,-977.73,Bank,2071
2022-08-08,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*494 56*****buff\ 56*****buff\,-494.56,Bank,2072
2022-08-08,preauth debit,,irs usataxpymt 220808 270262033384864,-5196.51,Bank,2073
2022-08-09,check,15924.0,,-488.31,Bank,2074
2022-08-09,check,15926.0,,-602.82,Bank,2075
2022-08-09,check,15934.0,,-607.65,Bank,2076
2022-08-10,check,15918.0,,-153.84,Bank,2077
2022-08-10,check,15948.0,,-417.51,Bank,2078
2022-08-10,check,15949.0,,-49.53,Bank,2079
2022-08-11,check,15944.0,,-631.79,Bank,2082
2022-08-11,preauth debit,,t-mobile tel pcs svc 220811 @@7771531,-64.28,Bank,2083
2022-08-12,check,15933.0,,-1437.82,Bank,2085
2022-08-12,check,15947.0,,-22366.65,Bank,2086
2022-08-12,preauth debit,,amex epayment ach pmt 220812 cop000005209866,-5040.86,Bank,2089
2022-08-15,check,15939.0,,-399.0,Bank,2093
2022-08-15,check,15953.0,,-749.07,Bank,2094
2022-08-15,check,15957.0,,-572.35,Bank,2095
2022-08-15,check,15958.0,,-952.21,Bank,2096
2022-08-15,check,15959.0,,-895.1,Bank,2097
2022-08-15,check,15960.0,,-771.46,Bank,2098
2022-08-15,check,15961.0,,-757.62,Bank,2099
2022-08-15,check,15962.0,,-940.4,Bank,2100
2022-08-15,check,15966.0,,-505.1,Bank,2101
2022-08-15,check,15967.0,,-723.92,Bank,2102
2022-08-15,check,15968.0,,-766.38,Bank,2103
2022-08-15,check,15969.0,,-1067.48,Bank,2104
2022-08-15,check,15970.0,,-771.76,Bank,2105
2022-08-15,preauth debit,,irs usataxpymt 220815 270262724225223,-6161.24,Bank,2106
2022-08-15,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*113 718*****buff\ 718*****buff\,-1137.18,Bank,2107
2022-08-15,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*591 88*****buff\ 88*****buff\,-591.88,Bank,2108
2022-08-15,check,15971.0,,-839.21,Bank,2109
2022-08-15,check,15973.0,,-762.81,Bank,2110
2022-08-15,check,15975.0,,-1418.52,Bank,2111
2022-08-15,check,15977.0,,-895.29,Bank,2112
2022-08-15,check,15978.0,,-540.17,Bank,2113
2022-08-15,check,15979.0,,-762.81,Bank,2114
2022-08-15,check,15983.0,,-741.03,Bank,2115
2022-08-15,check,15984.0,,-1293.82,Bank,2116
2022-08-15,check,15985.0,,-857.29,Bank,2117
2022-08-16,deposit bridge,,,6418.08,Bank,2118
2022-08-16,onln bkg trft credit,,fr acc 08003212084,1006.0,Bank,2120
2022-08-16,check,15955.0,,-727.07,Bank,2121
2022-08-16,check,15963.0,,-744.55,Bank,2122
2022-08-16,check,15986.0,,-1437.86,Bank,2123
2022-08-16,check,15993.0,,-1298.5,Bank,2124
2022-08-17,deposit bridge,,,4908.24,Bank,2125
2022-08-17,check,15956.0,,-814.5,Bank,2126
2022-08-17,check,15974.0,,-819.29,Bank,2127
2022-08-18,check,15982.0,,-847.9,Bank,2128
2022-08-18,check,15987.0,,-23205.23,Bank,2129
2022-08-19,preauth debit,,g inc. ach-2092 220819,-11621.39,Bank,2130
2022-08-19,onln bkg trft credit,,fr acc 08003212084,85915.96,Bank,2131
2022-08-22,deposit bridge,,,47107.47,Bank,2132
2022-08-22,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*611 07*****buff\ 07*****buff\,-611.07,Bank,2133
2022-08-22,preauth debit,,irs usataxpymt 220822 270263433925557,-6363.08,Bank,2134
2022-08-22,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*115 698*****buff\ 698*****buff\,-1156.98,Bank,2135
2022-08-22,check,15951.0,,-191.92,Bank,2136
2022-08-22,check,16000.0,,-1025.64,Bank,2137
2022-08-22,check,16001.0,,-947.86,Bank,2138
2022-08-22,check,16002.0,,-1220.73,Bank,2139
2022-08-22,check,16004.0,,-928.23,Bank,2140
2022-08-22,check,16005.0,,-753.86,Bank,2141
2022-08-22,check,16006.0,,-891.72,Bank,2142
2022-08-22,check,16007.0,,-890.04,Bank,2143
2022-08-22,check,16008.0,,-793.86,Bank,2144
2022-08-22,check,16010.0,,-930.82,Bank,2145
2022-08-22,check,16015.0,,-753.27,Bank,2146
2022-08-22,check,16016.0,,-1010.45,Bank,2147
2022-08-22,check,16017.0,,-814.14,Bank,2148
2022-08-22,check,16018.0,,-806.91,Bank,2149
2022-08-22,check,16020.0,,-1437.85,Bank,2150
2022-08-22,check,16022.0,,-832.84,Bank,2151
2022-08-22,check,16023.0,,-1430.98,Bank,2152
2022-08-22,check,16025.0,,-889.94,Bank,2153
2022-08-22,check,16026.0,,-646.09,Bank,2154
2022-08-22,check,16027.0,,-749.36,Bank,2155
2022-08-22,check,16031.0,,-736.6,Bank,2156
2022-08-22,check,16032.0,,-1293.84,Bank,2157
2022-08-23,check,15964.0,,-957.84,Bank,2161
2022-08-23,check,15976.0,,-753.92,Bank,2162
2022-08-23,check,15980.0,,-758.85,Bank,2163
2022-08-23,check,15989.0,,-128.0,Bank,2164
2022-08-23,check,16003.0,,-718.33,Bank,2165
2022-08-23,check,16009.0,,-753.28,Bank,2166
2022-08-23,check,16011.0,,-718.34,Bank,2167
2022-08-23,check,16012.0,,-661.4,Bank,2168
2022-08-23,check,16013.0,,-731.45,Bank,2169
2022-08-23,check,16014.0,,-697.73,Bank,2170
2022-08-23,check,16021.0,,-731.44,Bank,2171
2022-08-24,check,15988.0,,-25576.49,Bank,2172
2022-08-24,check,15990.0,,-1748.47,Bank,2173
2022-08-24,check,15991.0,,-1100.0,Bank,2174
2022-08-26,preauth debit,,g inc. ach-2092 220826,-20844.51,Bank,2175
2022-08-29,deposit bridge,,,1210.0,Bank,2177
2022-08-29,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*512 18*****buff\ 18*****buff\,-512.18,Bank,2178
2022-08-29,preauth debit,,irs usataxpymt 220829 270264193187556,-5317.76,Bank,2179
2022-08-29,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*998 23*****buff\ 23*****buff\,-998.23,Bank,2180
2022-08-29,check,16033.0,,-857.24,Bank,2183
2022-08-29,check,16034.0,,-825.68,Bank,2184
2022-08-29,check,16035.0,,-861.96,Bank,2185
2022-08-29,check,16039.0,,-587.49,Bank,2186
2022-08-29,check,16040.0,,-679.94,Bank,2187
2022-08-29,check,16041.0,,-809.34,Bank,2188
2022-08-29,check,16042.0,,-673.6,Bank,2189
2022-08-29,check,16043.0,,-656.6,Bank,2190
2022-08-29,check,16044.0,,-859.15,Bank,2191
