Date,Transaction Type,Check_Ref,Description,Amount,Source,ID
2022-08-01,check,15748.0,,-1150.18,Bank,2000
2022-08-01,check,15787.0,,-947.4,Bank,2001
2022-08-01,check,15793.0,,-191.92,Bank,2002
2022-08-01,check,15827.0,,-670.23,Bank,2003
2022-08-01,check,15862.0,,-518.57,Bank,2004
2022-08-01,check,15869.0,,-730.8,Bank,2005
2022-08-01,check,15874.0,,-683.13,Bank,2006
2022-08-01,check,15875.0,,-133.86,Bank,2007
2022-08-01,check,15876.0,,-931.85,Bank,2008
2022-08-01,check,15877.0,,-1160.89,Bank,2009
2022-08-01,check,15878.0,,-575.94,Bank,2010
2022-08-01,check,15879.0,,-896.89,Bank,2011
2022-08-01,check,15880.0,,-305.98,Bank,2012
2022-08-01,check,15881.0,,-813.05,Bank,2013
2022-08-01,check,15882.0,,-753.88,Bank,2014
2022-08-01,check,15883.0,,-518.95,Bank,2015
2022-08-01,check,15884.0,,-611.77,Bank,2016
2022-08-01,check,15885.0,,-799.25,Bank,2017
2022-08-01,check,15886.0,,-580.41,Bank,2018
2022-08-01,check,15889.0,,-566.68,Bank,2019
2022-08-01,check,15890.0,,-616.27,Bank,2020
2022-08-01,check,15891.0,,-1029.46,Bank,2021
2022-08-01,check,15892.0,,-605.34,Bank,2022
2022-08-01,check,15893.0,,-704.74,Bank,2023
2022-08-01,check,15895.0,,-1437.85,Bank,2024
2022-08-01,check,15896.0,,-587.49,Bank,2025
2022-08-01,check,15897.0,,-742.35,Bank,2026
2022-08-01,check,15898.0,,-1260.02,Bank,2027
2022-08-01,check,15900.0,,-723.19,Bank,2028
2022-08-01,check,15902.0,,-582.45,Bank,2029
2022-08-01,check,15903.0,,-667.15,Bank,2030
2022-08-01,check,15906.0,,-605.63,Bank,2031
2022-08-01,check,15907.0,,-1293.81,Bank,2032
2022-08-01,check,15908.0,,-695.92,Bank,2033
2022-08-01,deposit bridge,,,67491.52,Bank,2034
2022-08-01,preauth debit,,irs usataxpymt 220801 270261301950217,-5209.67,Bank,2035
2022-08-01,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*101 810*****buff\ 810*****buff\,-1018.1,Bank,2036
2022-08-01,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*495 73*****buff\ 73*****buff\,-495.73,Bank,2037
2022-08-02,check,15888.0,,-584.91,Bank,2038
2022-08-02,check,15909.0,,-19816.4,Bank,2039
2022-08-03,check,15901.0,,-459.51,Bank,2040
2022-08-03,check,15911.0,,-785.76,Bank,2041
2022-08-04,preauth debit,,g inc. ach-2092 220804,-10585.59,Bank,2042
2022-08-04,onln bkg trft credit,,fr acc 08003212084,30502.03,Bank,2043
2022-08-05,preauth debit,,g inc. ach-2092 220805,-3572.64,Bank,2045
2022-08-08,check,15887.0,,-800.56,Bank,2046
2022-08-08,check,15912.0,,-1100.0,Bank,2047
2022-08-08,check,15925.0,,-621.06,Bank,2057
2022-08-08,check,15927.0,,-579.8,Bank,2058
2022-08-08,check,15928.0,,-656.55,Bank,2059
2022-08-08,check,15932.0,,-580.43,Bank,2063
2022-08-08,deposit bridge,,,1298.5,Bank,2070
2022-08-08,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*977 73*****buff\ 73*****buff\,-977.73,Bank,2071
2022-08-08,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*494 56*****buff\ 56*****buff\,-494.56,Bank,2072
2022-08-08,preauth debit,,irs usataxpymt 220808 270262033384864,-5196.51,Bank,2073
2022-08-10,check,15948.0,,-417.51,Bank,2078
2022-08-10,check,15949.0,,-49.53,Bank,2079
2022-08-10,check,15950.0,,-800.0,Bank,2080
2022-08-11,check,15776.0,,-638.66,Bank,2081
2022-08-11,preauth debit,,t-mobile tel pcs svc 220811 @@7771531,-64.28,Bank,2083
2022-08-12,check,15865.0,,-803.99,Bank,2084
2022-08-12,check,15947.0,,-22366.65,Bank,2086
2022-08-12,preauth debit,,amex epayment ach pmt 220812 cop000005209866,-5040.86,Bank,2089
2022-08-15,check,15786.0,,-1017.97,Bank,2090
2022-08-15,check,15894.0,,-593.82,Bank,2091
2022-08-15,check,15910.0,,-271.18,Bank,2092
2022-08-15,preauth debit,,irs usataxpymt 220815 270262724225223,-6161.24,Bank,2106
2022-08-15,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*113 718*****buff\ 718*****buff\,-1137.18,Bank,2107
2022-08-15,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*591 88*****buff\ 88*****buff\,-591.88,Bank,2108
2022-08-15,check,15973.0,,-762.81,Bank,2110
2022-08-15,check,15979.0,,-762.81,Bank,2114
2022-08-16,deposit bridge,,,6418.08,Bank,2118
2022-08-16,onln bkg trft credit,,fr acc 08003212084,1006.0,Bank,2120
2022-08-16,check,15963.0,,-744.55,Bank,2122
2022-08-16,check,15993.0,,-1298.5,Bank,2124
2022-08-17,deposit bridge,,,4908.24,Bank,2125
2022-08-18,check,15987.0,,-23205.23,Bank,2129
2022-08-19,preauth debit,,g inc. ach-2092 220819,-11621.39,Bank,2130
2022-08-19,onln bkg trft credit,,fr acc 08003212084,85915.96,Bank,2131
2022-08-22,deposit bridge,,,47107.47,Bank,2132
2022-08-22,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*611 07*****buff\ 07*****buff\,-611.07,Bank,2133
2022-08-22,preauth debit,,irs usataxpymt 220822 270263433925557,-6363.08,Bank,2134
2022-08-22,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*115 698*****buff\ 698*****buff\,-1156.98,Bank,2135
2022-08-22,check,15951.0,,-191.92,Bank,2136
2022-08-23,check,15737.0,,-718.33,Bank,2158
2022-08-23,check,15826.0,,-783.02,Bank,2159
2022-08-23,check,15864.0,,-732.6,Bank,2160
2022-08-23,check,15989.0,,-128.0,Bank,2164
2022-08-24,check,15988.0,,-25576.49,Bank,2172
2022-08-24,check,15990.0,,-1748.47,Bank,2173
2022-08-24,check,15991.0,,-1100.0,Bank,2174
2022-08-26,preauth debit,,g inc. ach-2092 220826,-20844.51,Bank,2175
2022-08-29,deposit bridge,,,1210.0,Bank,2177
2022-08-29,preauth debit,,nj web pmt 01120 njweb01120 txp*b463785315000* 01120*220930*t*512 18*****buff\ 18*****buff\,-512.18,Bank,2178
2022-08-29,preauth debit,,irs usataxpymt 220829 270264193187556,-5317.76,Bank,2179
2022-08-29,preauth debit,,nj git / lbr pmt njweb13002 txp*b463785315000* 13002*220930*t*998 23*****buff\ 23*****buff\,-998.23,Bank,2180
2022-08-29,check,15904.0,,-1084.66,Bank,2181
2022-08-29,check,15905.0,,-891.46,Bank,2182
2022-08-29,check,16034.0,,-825.68,Bank,2184
2022-08-29,check,16047.0,,-602.8,Bank,2194
2022-08-31,check,15992.0,,-19490.34,Bank,2211
