Date,Transaction Type,Check_Ref,Description,Amount,Source,ID,Next Action
2022-08-01,bank charge/income,22487.0,bank checking 2092`22487_x0003_fed p/r tax,-4519.16,GL,1000,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,bank charge/income,22488.0,bank checking 2092`22488_x0003_state p/r tax,-41.32,GL,1001,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,bank charge/income,22489.0,bank checking 2092`22489_x0003_state p/r tax,-166.9,GL,1002,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,bank charge/income,22490.0,bank checking 2092`22490_x0003_state p/r tax,-769.72,GL,1003,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,bank charge/income,22491.0,bank checking 2092`22491_x0003_state p/r  tax,-495.73,GL,1004,Amount/date match. Focus on Ref (fuzzy).
2022-08-01,bank charge/income,22492.0,bank checking 2092`22492_x0003_state p/r tax,-40.16,GL,1005,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,8279.61,GL,1006,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,6901.56,GL,1007,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1129.31,GL,1008,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,5511.0,GL,1009,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1193.0,GL,1010,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,2826.7200000000003,GL,1011,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
2022-08-01,cash receipt entry,22496.0,bank checking 2092`22496_x0003_deposit 8/1/22,1898.16,GL,1012,Amount/date mismatch. Focus on Ref (fuzzy) and Focus on Desc (NLP).
